est	obs	kind
34.0	34	est/obs
34.0	34	est/obs
34.0	34	est/obs
34.0	34	est/obs
37.0264854431	66	est/obs
196.0	196	est/obs
80.0	80	est/obs
79.0	79	est/obs
448.0	448	est/obs
30.0	30	est/obs
448.966322899	449	est/obs
31.0	31	est/obs
137.989009857	138	est/obs
309.0	309	est/obs
115.0	115	est/obs
145.0	145	est/obs
448.935588837	449	est/obs
43.0	43	est/obs
43.0	43	est/obs
72.0	72	est/obs
35.0	35	est/obs
181.0	181	est/obs
181.0	181	est/obs
181.0	181	est/obs
117.0	117	est/obs
56.0	56	est/obs
64.0	64	est/obs
49.0	49	est/obs
100.0	100	est/obs
58.0	58	est/obs
129.0	129	est/obs
75.0	75	est/obs
111.0	111	est/obs
292.0	292	est/obs
128.0	128	est/obs
43.0	43	est/obs
106.0	106	est/obs
482.0	482	est/obs
1816.0	1816	est/obs
243.0	243	est/obs
41.0	41	est/obs
721.0	721	est/obs
1095.0	1095	est/obs
314.0	314	est/obs
194.0	194	est/obs
1816.0	1816	est/obs
128.0	128	est/obs
466.0	466	est/obs
156.0	156	est/obs
341.0	341	est/obs
116.0	116	est/obs
68.0	68	est/obs
71.0	71	est/obs
70.0	70	est/obs
35.0	35	est/obs
36.0	36	est/obs
70.0	70	est/obs
53.3435335159	59	est/obs
71.7262468338	74	est/obs
71.4748020172	76	est/obs
46.0838031769	58	est/obs
154.340246201	79	est/obs
49.5788249969	66	est/obs
63.1221456528	60	est/obs
81.3659534454	77	est/obs
52.9406709671	63	est/obs
65.600566864	63	est/obs
36.7960624695	65	est/obs
28.7642326355	60	est/obs
36.9333381653	58	est/obs
69.5574235916	60	est/obs
73.8216648102	60	est/obs
72.9784460068	59	est/obs
85.0847835541	65	est/obs
52.3779726028	48	est/obs
140.245031357	64	est/obs
66.904001236	64	est/obs
70.7362041473	58	est/obs
68.8852443695	69	est/obs
60.6665754318	52	est/obs
57.4641151428	57	est/obs
41.5102043152	59	est/obs
44.2734947205	49	est/obs
41.568145752	52	est/obs
71.2489328384	60	est/obs
49.9146909714	56	est/obs
121.43672657	75	est/obs
63.2611513138	72	est/obs
67.5937986374	65	est/obs
73.4863080978	74	est/obs
66.8726453781	59	est/obs
69.2723808289	56	est/obs
43.2781333923	63	est/obs
33.3092765808	58	est/obs
43.4274272919	60	est/obs
83.7853593826	66	est/obs
81.6936540604	70	est/obs
65.4698495865	64	est/obs
248.793049812	81	est/obs
63.1991634369	70	est/obs
85.2107419968	73	est/obs
80.8423175812	81	est/obs
72.2620344162	74	est/obs
69.1424674988	62	est/obs
110.953914642	73	est/obs
38.7363853455	58	est/obs
53.809589386	66	est/obs
90.3883008957	70	est/obs
39.6650028229	59	est/obs
61.5104398727	60	est/obs
53.0086297989	64	est/obs
55.244134903	60	est/obs
54.5193872452	55	est/obs
42.7611818314	60	est/obs
37.8828020096	53	est/obs
55.1492729187	61	est/obs
51.5209226608	52	est/obs
123.890950203	71	est/obs
45.903594017	61	est/obs
66.4909601212	57	est/obs
59.1618566513	70	est/obs
54.6968698502	56	est/obs
58.3349876404	58	est/obs
39.6833610535	57	est/obs
30.8979148865	58	est/obs
44.0470600128	56	est/obs
129.623288155	130	est/obs
150.989330292	151	est/obs
243.0	243	est/obs
155.993955612	156	est/obs
293.0	293	est/obs
31.0	31	est/obs
314.0	314	est/obs
748.8384161	749	est/obs
128.0	128	est/obs
182.010661125	70	est/obs
149.777772903	83	est/obs
117.321570396	70	est/obs
111.663150787	65	est/obs
123.324634552	69	est/obs
75.561252594	63	est/obs
77.8309669495	65	est/obs
